player,Team,Format,matches,Innings,runs,wickets,average,bowling_average,bowling_strike_rate,economy,batting_position,5 wkts,image_url,role,strike_rate,100s,50s
Jaydean Seals,Windies,T20,5,5,4,6,4,28.83,18.0,9.61,9,0,"",fast-bowler
Mathew Forde,Windies,Odi,13,12,172,17,21.50,32.41,31.5,6.15,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/372300/372396.jpg",fast-bowler
Mathew Forde,Windies,T20,11,11,84,12,16.80,27.08,18.2,8.90,10,0,"",fast-bowler
Ish Sodh,NewZeland,Odi,54,50,210,64,9.54,36.71,39.9,5.51,8,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/383000/383057.jpg",leg-spinner
Ish Sodh,NewZeland,T20,130,124,208,156,7.70,22.28,16.7,7.99,10,0,"",leg-spinner
Ish Sodh,NewZeland,Test,21,38,561,58,20.77,43.10,69.7,3.71,8,1,"",leg-spinner
Noor Ahmed,Afghanistan,Odi,13,13,46,10,9.20,64.40,63.5,6.08,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/396600/396612.jpg",left-arm-wrist-spin
Noor Ahmed,Afghanistan,T20,22,21,70,18,7.77,25.61,23.0,6.68,10,0,"",left-arm-wrist-spin
AM Ghanzafar, Afghanistan,Odi,14,14,59,23,11.80,16.78,23.7,4.23,11,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/393400/393460.jpg",right-arm-mystrey-spin
AM Ghanzafar, Afghanistan,Odi,4,4,7,1,7.00,87.00,72.0,7.25,10,0,"",right-arm-mystrey-spin
Dushmantha Chameera,Srilanka,Test,12,21,104,32,5.47,41.28,63.1,3.91,10,1,"",fast-bowler
Dushmantha Chameera,Srilanka,Odi,56,55,289,63,12.04,34.25,37.6,5.46,10,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/403300/403388.jpg",fast-bowler
Dushmantha Chameera,Srilanka,T20,64,64,102,70,6.00,26.70,19.9,8.04,10,0,"",fast-bowler
Romario Shepherd,Windies,T20,69,65,772,74,25.73,27.77,16.7,9.97,8,0,"",fast-bowler 
Romario Shepherd,Windies,Odi,40,38,407,34,16.28,40.88,44.7,5.47,8,0,"",fast-bowler
